177,小龙坎老火锅（嘉鸿店）,10:00-22:00,0557-5506969,安徽省宿州市萧县淮海路与龙湖路交汇处嘉鸿花园《嘉鸿财富广场》商业街14号楼2层201号
178,小龙坎老火锅（家佳源商场店）,10:00-00:00,0532-66072222,山东省青岛市黄岛区长江中路家佳源商场2楼
179,小龙坎老火锅（城阳路店）,11:00-22:00,0633-6177266,山东省日照市莒县城阳路与北坛路交汇处王店子沿街楼
180,小龙坎老火锅（振兴中路店）,10:30-21:30,0632-4497777,山东省枣庄市市中区振兴中路55号
181,小龙坎老火锅（香港中路店）,11:00-00:00,0532-88078888；0532-66760606,山东省青岛市市南区香港东路43号
182,小龙坎老火锅（万达店）,10:00-22:00,0532-80918666,山东省青岛市市北区延吉路116号CBD万达广场4F06,4F07商铺
183,小龙坎老火锅（丽达店）,10:00-00:00,0532-87678888,山东省青岛市崂山区秦岭路18号
184,小龙坎老火锅(北城杏坛店),11：00-22:30,0539-8171166,山东省临沂市北城新区沂蒙北路与天津路交汇杏坛家园E号楼105号
185,小龙坎老火锅（君悦店）,,,山东省临沂市沂南县兴良·蘑菇街C1幢一、二层127-130、133
186,小龙坎老火锅（快乐城店）,11:00-次日01:30,0792-8275977,江西省九江市开发区长江大道中段新贵府邸A1A2-106
187,小龙坎老火锅（美笛龙店）,11:00-00:00,0632-6066660,山东省枣庄市薛城区永心美笛龙家居建材国际广场北门西首
188,小龙坎老火锅（陈元光店）,11:00-次日02:00,0376-6775777,河南省信阳市固始县蓼北路与红苏路交叉口二楼
189,小龙坎老火锅(阜阳宝龙店),11:00-次日02:00,0558-2582777,安徽省阜阳市颍州区宝龙商铺4#1F00-2，4#1F008，1F009
190,小龙坎老火锅（财富广场店）,09:30-21:30,0558-2361116,安徽省阜阳市颍泉区人民东路香港财富广场五层
191,小龙坎老火锅（长安路店）,10:00-21:30,0539-7127666,山东省临沂市沂水县长安路88号
192,小龙坎老火锅（家佳源店）,10:00-00:00,0532-80966868,山东省青岛市城阳区正阳中路136号家佳源购物中心一、二楼
193,小龙坎老火锅(剑桥府邸店),11：00-22：00,0516-89622999,江苏省徐州市沛县剑桥府邸商业中心一层1/3商铺
194,小龙坎老火锅（朝阳店）,10:00-00：00,0376-6556666,河南省信阳市淮滨县白露河路与朝阳街十字路口
195,小龙坎老火锅（春光丽景店）,10:00-次日02:00,0558-6669996,安徽省阜阳市阜南县东环路春光丽景小区沿街从北至南1号3号27号28号商铺
196,小龙坎老火锅（文化中心店）,11:00-21:30,0532-58763966,山东省青岛市即墨经济技术开发区市民文化中心二号馆一层、二层
197,小龙坎老火锅（江城水岸店）,,,湖北省黄冈市武穴市粮食路江城水岸C-201商铺
198,小龙坎老火锅（荆河店）,10:30-21:30,0632-3282345,山东省枣庄市滕州市滕州饭庄一层
199,小龙坎老火锅（大中华店）,11:00-00:00,0713-7871777,湖北省黄冈市蕲春县大中华广场（商业步行街）第三层L3-A019号商铺
200,小龙坎老火锅（翰林广场店）,11:00-21:30,0558-8366966,安徽省阜阳市太和县国建翰林广场10幢111-210、112-211、113-212房
201,小龙坎老火锅（金色家园店）,11：00-22：00,0516-89596667,江苏省徐州市丰县金色家园A12幢3-107、4-205、206-210、305-310
202,小龙坎老火锅（滨江店）,10:30-次日02：00,0599-8847777,福建省南平市延平区滨江中路397号冠福大厦二楼01号
203,小龙坎老火锅（谯城万达店）,11:00-次日05:00,0558-8865678,安徽省亳州市谯城万达广场B5-163#
204,小龙坎老火锅（中山路店）,11:00-00:00,0791-86777017,江西省南昌市东湖区中山路百花洲美食广场项目2层号商202铺
205,小龙坎老火锅（南昌店）,11:00-次日01:30,0791-86897767,江西省南昌市东湖区李家路3号
206,小龙坎老火锅（文昌里店）,11:00-21:30,0794-8252188,江西省抚州市临川区文昌里历史文化街区横街70/72/74/76号商铺
207,小龙坎老火锅（万达金街店）,10:00-23:30,0791-86217737,江西省南昌市红谷滩新区万达广场金街A区3-1143/3-2143、2144商铺
208,小龙坎老火锅(三坊七巷店),10:30-次日02：00,0591-87829355,福建省福州市鼓楼区南街街道吉庇巷北侧“三坊七巷”吉庇路缘之园工程1#楼1层05商店复式商铺
209,小龙坎老火锅(玺悦城店),9:30-21:30,0791-85722292,江西省南昌市南昌县澄湖东路1111号20#楼一层部分及二层商铺
210,小龙坎老火锅（世欧店）,10:30-次日02：00,0591-87710179,福建省福州市晋安区象园街道晋连路19号福州世欧广场A4座第五层编号6/7
211,小龙坎老火锅（抚州店）   ,9:30-21:00,0794-8282188,江西省抚州市临川区凤凰城商业广场A区大润发后门
212,小龙坎老火锅（公园大地店）,（筹备中）,,安徽省阜阳市界首市第一小学东大门对面公园大地商铺一二层
213,小龙坎老火锅(麻城文化小镇店),10:00-22:00,0713-2981777,湖北省黄冈市麻城市麻城小镇B1-117至B1-123、B1-125至B1-133号商铺
214,小龙坎老火锅（仓山万达店）,10:30-次日02：00,0591-86085678,福建省福州市仓山区仓山万达金街5号门
215,小龙坎老火锅（辉隆店）,10:00-00:00,0558-3775353,安徽省阜阳市临泉县辉隆生资建材大市场11号楼106、107
